"time_5yr","woman_age_ab_bin","rural","births","deaths","nmr_smoothed","births_smoothed","births_total","gamma_m2","gamma_m1","rural_ch","gamma_m0"
"2006-2010","20-24",1,4243,90,0.0232219844485132,4481,14615,0.306602805336983,0.291015089163237,"rural",0.290318166267533
"2006-2010","25-29",0,640,7,0.0181068146035525,579,2752,0.210392441860465,0.234604105571848,"urban",0.232558139534884
"2006-2010","25-29",1,3341,75,0.0237201675047514,3081,14615,0.210810810810811,0.229149519890261,"rural",0.228600752651386
"2006-2010","30-34",0,351,7,0.0212106257618374,383,2752,0.139171511627907,0.12866568914956,"urban",0.127543604651163
"2006-2010","30-34",1,2309,62,0.0277642885851772,2040,14615,0.139582620595279,0.158367626886145,"rural",0.15798836811495
"2006-2010","35-39",0,143,4,0.0246697321980776,194,2752,0.0704941860465116,0.0524193548387097,"urban",0.0519622093023256
"2006-2010","35-39",1,1271,41,0.0322708082874726,1032,14615,0.0706123845364352,0.0871742112482853,"rural",0.0869654464591173
"2006-2010","40-44",0,39,2,0.0240525145057369,71,2752,0.0257994186046512,0.0142961876832845,"urban",0.014171511627907
"2006-2010","40-44",1,342,12,0.0314916746685955,378,14615,0.0258638385220664,0.0234567901234568,"rural",0.0234006158056791
"2011-2015","10-14",0,11,0,0.0463290101324567,46,2697,0.0170559881349648,0.0124633431085044,"urban",0.00407860585836114
"2011-2015","10-14",1,50,2,0.0602034797767756,245,14320,0.017108938547486,0.0124142661179698,"rural",0.00349162011173184
"2011-2015","15-19",0,527,19,0.0257882072829225,608,2697,0.225435669262143,0.216275659824047,"urban",0.195402298850575
"2011-2015","15-19",1,2930,108,0.0337033481344464,3226,14320,0.225279329608939,0.198422496570645,"rural",0.204608938547486
"2011-2015","20-24",0,894,27,0.0164055684141943,828,2697,0.307007786429366,0.341275659824047,"urban",0.331479421579533
"2011-2015","20-24",1,4180,93,0.0215020530141138,4391,14320,0.30663407821229,0.291015089163237,"rural",0.291899441340782
"2011-2015","25-29",0,654,17,0.0167563704313889,567,2697,0.210233592880979,0.234604105571848,"urban",0.242491657397108
"2011-2015","25-29",1,2997,56,0.0219600121611104,3014,14320,0.210474860335196,0.229149519890261,"rural",0.209287709497207
"2011-2015","30-34",0,442,7,0.0196304777116209,376,2697,0.139414163885799,0.12866568914956,"urban",0.163885799035966
"2011-2015","30-34",1,2346,62,0.0257096089114744,2000,14320,0.139664804469274,0.158367626886145,"rural",0.163826815642458
"2011-2015","35-39",0,183,8,0.0228348360361201,190,2697,0.0704486466444197,0.0524193548387097,"urban",0.067853170189099
"2011-2015","35-39",1,1203,41,0.0298873161493124,1011,14320,0.0706005586592179,0.0871742112482853,"rural",0.0840083798882682
"2011-2015","40-44",0,50,0,0.0222574108511715,70,2697,0.0259547645532073,0.0142961876832845,"urban",0.0185391175380052
